Date,US_REITs_VNQ,US_SmallCap_IWM,Gold_GLD,US_LargeCap_SPY,Europe_VGK,DevExUS_EFA,US_Bonds_AGG,Emerging_EEM
2006-02-06,27.804012,55.643108,56.720001,87.652443,26.846159,35.150532,54.148575,22.230089
2006-02-07,27.585346,54.744152,54.599998,86.877068,26.617039,34.890121,54.110752,21.646860
2006-02-08,27.462910,55.089897,54.830002,87.666313,26.865664,35.014664,54.083775,21.714149
2006-02-09,27.594099,54.805630,56.180000,87.520943,27.002171,35.082603,54.116203,21.770231
2006-02-10,27.620338,54.690365,54.790001,87.680168,26.972910,35.003345,54.002678,21.736574
2006-02-13,27.659700,54.329243,53.720001,87.520943,26.894917,34.759911,54.040504,21.200459
2006-02-14,27.812742,54.959278,54.490002,88.448700,27.060652,35.144882,53.954063,21.736574
2006-02-15,28.057650,55.443336,53.759998,88.760254,26.948540,34.827835,54.013470,21.624422
2006-02-16,28.245686,55.935081,54.520000,89.424904,27.124043,35.161861,53.959419,22.185219
2006-02-17,28.547428,55.819824,54.959999,89.182602,27.241028,35.059956,54.180977,22.156059
2006-02-20,28.547428,55.819824,54.959999,89.182602,27.241028,35.059956,54.180977,22.156059
2006-02-21,28.512451,55.573952,55.119999,88.961052,27.294659,35.065617,53.981091,21.960903
2006-02-22,28.831686,55.950424,55.340000,89.501053,27.484774,35.331688,54.197208,22.079794
2006-02-23,28.783579,55.912037,54.639999,89.369507,27.397028,35.422272,54.164814,22.073065
2006-02-24,28.630526,56.357674,55.639999,89.598030,27.362898,35.541157,54.208050,22.115681
2006-02-27,28.634880,56.511360,55.220001,89.632622,27.406778,35.665707,54.094528,22.317574
2006-02-28,28.529942,55.766022,56.070000,88.781006,27.177649,35.337345,54.208050,21.736574
2006-03-01,28.696110,56.780251,56.099998,89.570312,27.426270,35.699673,54.209618,22.337757
2006-03-02,28.661118,56.542080,56.740002,89.563385,27.470146,35.631741,54.074059,22.355707
2006-03-03,28.503700,56.257782,56.279999,89.147964,27.553015,35.484543,53.965565,21.983335
2006-03-06,29.019720,55.819824,55.230000,88.739487,27.470146,35.348679,53.667290,21.646860
2006-03-07,28.669886,55.013077,54.950001,88.601021,27.119162,34.918427,53.802849,20.884165
2006-03-08,28.818571,55.205143,53.970001,88.787964,27.128910,35.037308,53.829998,21.007544
2006-03-09,29.054688,54.721100,54.240002,88.192528,27.143528,34.997684,53.759468,20.794437
2006-03-10,29.317081,55.566284,53.830002,89.030281,27.421400,35.529827,53.781136,21.231857
2006-03-13,29.124674,55.681522,54.310001,89.196426,27.655390,35.824226,53.878822,21.209431
2006-03-14,29.334570,56.296173,54.869999,90.131096,27.996651,36.203529,54.057785,21.871174
2006-03-15,29.889965,56.810989,55.119999,90.532700,28.142889,36.333729,53.911339,22.124655
2006-03-16,30.200451,56.680363,55.340000,90.719620,28.342760,36.452614,54.139103,21.927256
2006-03-17,30.471581,56.910847,55.119999,90.795380,28.396385,36.628109,54.019817,22.082037
2006-03-20,29.958704,56.880146,55.169998,90.649406,28.391508,36.701714,53.998093,22.207655
2006-03-21,29.611217,56.088726,54.830002,90.079445,28.138014,36.322407,53.857121,21.759010
2006-03-22,29.677202,56.956959,54.750000,90.628586,28.372007,36.662083,53.954735,21.999039
2006-03-23,29.756371,57.202831,54.700001,90.440903,28.074642,36.220505,53.911339,21.794907
2006-03-24,29.712381,57.679527,55.709999,90.510414,28.284252,36.509232,54.003536,21.983335
2006-03-27,29.369301,57.687206,56.389999,90.378319,28.064884,36.446957,54.046963,22.117931
2006-03-28,29.694790,57.386890,56.060001,89.822250,27.884520,36.095955,53.911339,21.714149
2006-03-29,30.249014,58.449570,57.070000,90.385284,28.152634,36.571495,53.802849,22.129143
2006-03-30,29.813549,58.295597,58.599998,90.225418,28.445139,37.013062,53.558769,22.241299
2006-03-31,29.875128,58.503502,58.099998,90.246269,28.269640,36.752663,53.737762,22.207655
2006-04-03,29.360500,58.018368,58.470001,90.176735,28.474380,37.154617,53.684940,22.835752
2006-04-04,29.158178,58.280186,58.330002,90.753693,28.835136,37.448994,53.755741,22.970337
2006-04-05,29.316505,58.580532,58.660000,91.066483,28.922886,37.573540,53.793865,23.205870
2006-04-06,29.197756,58.703724,59.279999,90.969154,28.800999,37.607498,53.750290,23.086994
2006-04-07,28.757895,57.764229,58.590000,90.044701,28.376881,37.177258,53.570644,22.734800
2006-04-10,28.485191,57.702629,59.599998,90.183708,28.430500,37.245182,53.521614,22.656294
2006-04-11,28.414810,56.678383,59.009998,89.419052,28.181887,36.996094,53.630508,22.463375
2006-04-12,28.414810,57.271366,59.430000,89.585915,28.142889,36.814926,53.581524,22.593479
2006-04-13,28.040930,57.417679,59.500000,89.467728,28.235512,36.911175,53.472622,22.701157
2006-04-14,28.040930,57.417679,59.500000,89.467728,28.235512,36.911175,53.472622,22.701157
2006-04-17,27.961767,57.456203,61.090000,89.432976,28.523134,37.081001,53.559700,22.970337
2006-04-18,28.643538,59.065666,61.849998,90.850952,28.932621,37.839615,53.521614,23.733030
2006-04-19,28.995420,59.496922,63.750000,91.024757,29.249493,38.100033,53.570644,23.878834
2006-04-20,29.026197,59.181190,60.959999,91.149902,29.200745,37.930199,53.488937,23.793592
2006-04-21,29.030602,59.050270,63.200001,91.163765,29.332369,38.184956,53.483505,23.979780
2006-04-24,28.881056,58.580532,61.650002,90.996941,29.522486,38.224590,53.684940,23.665733
2006-04-25,28.661137,58.619011,62.779999,90.621597,29.429869,38.201927,53.505295,23.340479
2006-04-26,28.573156,58.572811,63.650002,90.642456,29.488365,38.439701,53.412777,23.800320
2006-04-27,28.753498,58.087650,62.959999,91.080383,29.624863,38.507641,53.537960,23.425714
2006-04-28,28.859076,58.680607,65.089996,91.386223,29.746735,38.513298,53.657734,23.654518
2006-05-01,28.511576,57.956753,65.160004,90.642456,29.668737,38.496315,53.447365,23.647791
