Date,US_REITs_VNQ,US_SmallCap_IWM,Gold_GLD,US_LargeCap_SPY,Europe_VGK,DevExUS_EFA,US_Bonds_AGG,Emerging_EEM
2006-02-07,-0.00789564,-0.01628768,-0.03809305,-0.00888538,-0.00857119,-0.00743601,-0.00069874,-0.02658633
2006-02-08,-0.00444834,0.00629579,0.00420367,0.00904361,0.00929746,0.00356320,-0.00049869,0.00310368
2006-02-09,0.00476559,-0.00517342,0.02432330,-0.00165960,0.00506823,0.00193844,0.00059942,0.00257940
2006-02-10,0.00095045,-0.00210537,-0.02505311,0.00181763,-0.00108423,-0.00226174,-0.00210001,-0.00154721
2006-02-13,0.00142409,-0.00662493,-0.01972232,-0.00181763,-0.00289573,-0.00697891,0.00070021,-0.02497348
2006-02-14,0.00551777,0.01152989,0.01423184,0.01054461,0.00614342,0.01101428,-0.00160084,0.02497348
2006-02-15,0.00876704,0.00876902,-0.01348756,0.00351624,-0.00415160,-0.00906208,0.00110045,-0.00517296
2006-02-16,0.00667941,0.00883022,0.01403795,0.00746025,0.00649140,0.00954509,-0.00100119,0.02560292
2006-02-17,0.01062613,-0.00206268,0.00803802,-0.00271324,0.00430370,-0.00290240,0.00409760,-0.00131523
2006-02-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-02-21,-0.00122597,-0.00441448,0.00290698,-0.00248732,0.00196682,0.00016145,-0.00369606,-0.00884727
2006-02-22,0.01113412,0.00675142,0.00398337,0.00605173,0.00694114,0.00755917,0.00399559,0.00539914
2006-02-23,-0.00166994,-0.00068633,-0.01272977,-0.00147085,-0.00319763,0.00256053,-0.00059789,-0.00030481
2006-02-24,-0.00533157,0.00793872,0.01813615,0.00255380,-0.00124654,0.00335060,0.00079791,0.00192881
2006-02-27,0.00015208,0.00272327,-0.00757713,0.00038600,0.00160236,0.00349826,-0.00209638,0.00908753
2006-02-28,-0.00367144,-0.01327693,0.01527568,-0.00954661,-0.00839548,-0.00924929,0.00209638,-0.02637813
2006-03-01,0.00580745,0.01802381,0.00053488,0.00885120,0.00910641,0.01020118,0.00002892,0.02728210
2006-03-02,-0.00122015,-0.00420343,0.01134367,-0.00007734,0.00159853,-0.00190469,-0.00250378,0.00080325
2006-03-03,-0.00550750,-0.00504076,-0.00814025,-0.00464908,0.00301214,-0.00413964,-0.00200841,-0.01679695
2006-03-06,0.01794169,-0.00781530,-0.01883293,-0.00459255,-0.00301214,-0.00383618,-0.00554247,-0.01542427
2006-03-07,-0.01212831,-0.01455816,-0.00508258,-0.00156158,-0.01285927,-0.01224634,0.00252273,-0.03586921
2006-03-08,0.00517272,0.00348520,-0.01799534,0.00210772,0.00035940,0.00339876,0.00050448,0.00589038
2006-03-09,0.00815982,-0.00880675,0.00499032,-0.00672886,0.00053869,-0.00113153,-0.00131109,-0.01019607
2006-03-10,0.00899050,0.01532724,-0.00758771,0.00945431,0.01018509,0.01509064,0.00040296,0.02081724
2006-03-13,-0.00658462,0.00207174,0.00887743,0.00186443,0.00849690,0.00825183,0.00181473,-0.00105683
2006-03-14,0.00718097,0.01097820,0.01025833,0.01042426,0.01226425,0.01053223,0.00331607,0.03072358
2006-03-15,0.01875613,0.00910322,0.00454588,0.00444588,0.00520983,0.00358987,-0.00271274,0.01152308
2006-03-16,0.01033405,-0.00230197,0.00398337,0.00206254,0.00707691,0.00326669,0.00421589,-0.00896217
2006-03-17,0.00893761,0.00405814,-0.00398337,0.00083475,0.00189023,0.00480278,-0.00220575,0.00703406
2006-03-20,-0.01697456,-0.00053960,0.00090669,-0.00160901,-0.00017177,0.00200749,-0.00040224,0.00567258
2006-03-21,-0.01166664,-0.01401152,-0.00618177,-0.00630739,-0.00896862,-0.01038863,-0.00261410,-0.02040911
2006-03-22,0.00222589,0.01536104,-0.00146015,0.00607768,0.00828154,0.00930823,0.00181083,0.01097082
2006-03-23,0.00266410,0.00430752,-0.00091365,-0.00207305,-0.01053625,-0.01211766,-0.00080463,-0.00932246
2006-03-24,-0.00147941,0.00829890,0.01829592,0.00076829,0.00743843,0.00793976,0.00170871,0.00860839
2006-03-27,-0.01161390,0.00013312,0.01213218,-0.00146052,-0.00778607,-0.00170719,0.00080382,0.00610396
2006-03-28,0.01102167,-0.00521953,-0.00586926,-0.00617168,-0.00644744,-0.00967715,-0.00251253,-0.01842456
2006-03-29,0.01849198,0.01834844,0.01785601,0.00624875,0.00956923,0.01308831,-0.00201441,0.01893132
2006-03-30,-0.01450063,-0.00263776,0.02645609,-0.00177029,0.01033637,0.01200175,-0.00454688,0.00505544
2006-03-31,0.00206333,0.00356005,-0.00856903,0.00023107,-0.00618885,-0.00706019,0.00333642,-0.00151381
2006-04-03,-0.01737604,-0.00832697,0.00634819,-0.00077079,0.00721632,0.01087738,-0.00098344,0.02789035
2006-04-04,-0.00691481,0.00450252,-0.00239725,0.00637770,0.01258990,0.00789179,0.00131795,0.00587628
2006-04-05,0.00541525,0.00514026,0.00564149,0.00344065,0.00303852,0.00332023,0.00070896,0.01020157
2006-04-06,-0.00405883,0.00210074,0.01051390,-0.00106933,-0.00422312,0.00090338,-0.00081037,-0.00513581
2006-04-07,-0.01517953,-0.01613346,-0.01170792,-0.01021427,-0.01483531,-0.01150623,-0.00334782,-0.01537263
2006-04-10,-0.00952797,-0.00106697,0.01709151,0.00154257,0.00188776,0.00182538,-0.00091566,-0.00345912
2006-04-11,-0.00247386,-0.01790985,-0.00994866,-0.00851502,-0.00878306,-0.00671026,0.00203252,-0.00855148
2006-04-12,0.00000000,0.01040790,0.00709226,0.00186433,-0.00138474,-0.00490897,-0.00091379,0.00577512
2006-04-13,-0.01324527,0.00255147,0.00117716,-0.00132013,0.00328576,0.00261098,-0.00203452,0.00475454
2006-04-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-04-17,-0.00282710,0.00067073,0.02637188,-0.00038850,0.01013502,0.00459040,0.00162714,0.01178781
2006-04-18,0.02408973,0.02762683,0.01236389,0.01573080,0.01425423,0.02025182,-0.00071135,0.03266408
2006-04-19,0.01221005,0.00727476,0.03025711,0.00191125,0.01089252,0.00685858,0.00091566,0.00612469
2006-04-20,0.00106088,-0.00532081,-0.04475129,0.00137390,-0.00166802,-0.00446755,-0.00152638,-0.00357613
2006-04-21,0.00015172,-0.00221465,0.03608642,0.00015207,0.00449744,0.00669401,-0.00010156,0.00779466
2006-04-24,-0.00516463,-0.00798669,-0.02483106,-0.00183162,0.00646056,0.00103743,0.00375923,-0.01318283
2006-04-25,-0.00764379,0.00065664,0.01816328,-0.00413332,-0.00314210,-0.00059307,-0.00335190,-0.01383901
2006-04-26,-0.00307439,-0.00078845,0.01376282,0.00023015,0.00198568,0.00620484,-0.00173063,0.01950987
2006-04-27,0.00629174,-0.00831753,-0.01089976,0.00481974,0.00461818,0.00176588,0.00234095,-0.01586468
2006-04-28,0.00366509,0.01015621,0.03327128,0.00335228,0.00410540,0.00014690,0.00223468,0.00971981
2006-05-01,-0.01211435,-0.01241220,0.00107497,-0.00817202,-0.00262549,-0.00044106,-0.00392828,-0.00028444
2006-05-02,-0.01023430,0.01359257,0.02110775,0.00748721,0.01500379,0.01517827,0.00102075,0.01748961
2006-05-03,0.00186834,-0.00170512,-0.00135334,-0.00373655,-0.00845286,-0.00595616,-0.00071575,0.00111787
2006-05-04,0.01405808,0.01213721,0.01523106,0.00358466,0.00731916,0.00769291,-0.00051029,0.00972925
2006-05-05,0.01280282,0.00556267,0.00752930,0.00879200,0.02037065,0.01521052,0.00183961,0.01600779
2006-05-08,0.00438249,0.00141810,-0.00634455,-0.00120830,-0.00079383,-0.00085479,0.00071409,0.00723303
2006-05-09,-0.00045217,-0.00141810,0.03089728,0.00196212,0.00554607,0.00596844,-0.00050953,0.00090066
2006-05-10,-0.00362729,-0.00608162,0.00999576,-0.00052782,0.00031602,-0.00312178,-0.00112404,-0.01085993
2006-05-11,-0.01864372,-0.02284162,0.00919321,-0.01214450,-0.00840798,-0.01014251,-0.00061334,-0.02580798
2006-05-12,-0.01272928,-0.02432790,0.00126632,-0.01314423,-0.01525015,-0.01300567,-0.00215042,-0.02649139
2006-05-15,0.01365443,-0.00449995,-0.05357520,0.00200970,-0.01811880,-0.00861882,0.00061531,-0.02426122
2006-05-16,-0.00386018,0.00163916,0.01764488,-0.00146827,0.00705783,-0.00146826,0.00490368,0.00499730
2006-05-17,-0.01889664,-0.01845276,-0.00672713,-0.01920712,-0.03766437,-0.03240297,-0.00285814,-0.03490976
2006-05-18,-0.00775464,-0.00949567,-0.01017636,-0.00505809,-0.00033968,-0.00304007,0.00418184,-0.01941865
2006-05-19,0.00238033,0.00880034,-0.02826402,0.00702669,0.00373032,0.00501083,-0.00020360,0.02133958
2006-05-22,-0.00269813,-0.01118886,-0.00427872,-0.00766077,-0.02052021,-0.02220761,0.00020360,-0.04821930
2006-05-23,-0.01102769,-0.01302405,0.01640368,-0.00764038,0.01508894,0.00030947,-0.00275121,-0.01097931
2006-05-24,0.00160619,0.00766492,-0.03557566,0.00795717,-0.00957579,-0.00061925,0.00020405,-0.00699131
2006-05-25,0.01859698,0.02085000,0.00994105,0.01228855,0.01838650,0.01338771,-0.00010227,0.04164617
2006-05-26,0.01189784,0.00593729,0.00616337,0.00507645,0.00823233,0.00806907,0.00427665,-0.00300678
2006-05-29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-05-30,-0.00828219,-0.02791867,0.00015363,-0.01792008,-0.01262779,-0.01527908,-0.00223835,-0.04405038
2006-05-31,0.00172418,0.01726260,-0.01360771,0.01111977,0.00355180,0.00736316,-0.00224251,0.01668045
2006-06-01,0.01816155,0.01929128,-0.02634433,0.00952234,0.01007874,0.00639842,-0.00078838,0.02028367
2006-06-02,0.01147038,-0.00068205,0.01491379,0.00209551,0.01030948,0.00967218,0.00766051,0.01019700
2006-06-05,0.00485439,-0.02952186,-0.00331255,-0.01468157,-0.02005079,-0.02189504,-0.00326143,-0.04337042
2006-06-06,-0.01202694,-0.00422913,-0.01176113,-0.00244136,-0.01103069,-0.01221922,0.00265070,-0.00737836
2006-06-07,0.00702022,-0.00979468,-0.00432590,-0.00751919,-0.00667783,-0.01378880,-0.00316131,-0.02224522
2006-06-08,-0.00213071,0.00085545,-0.02224297,-0.00087463,-0.02981632,-0.02233673,0.00336488,-0.01797811
2006-06-09,0.00653195,-0.00887639,-0.00758077,-0.00318600,0.00212176,-0.00113054,0.00142370,-0.01312417
2006-06-12,-0.01203420,-0.02327710,-0.00697217,-0.01090890,-0.01118916,-0.00859735,-0.00305442,-0.03793040
2006-06-13,-0.01032120,-0.01916984,-0.07092235,-0.01168183,-0.02880932,-0.03178050,0.00285185,-0.02244291
2006-06-14,-0.00855313,0.01193132,-0.00537924,0.00772186,0.01713184,0.01436027,-0.00376953,0.02827254
