Date,US_REITs_VNQ,US_SmallCap_IWM,Gold_GLD,US_LargeCap_SPY,Europe_VGK,DevExUS_EFA,US_Bonds_AGG,Emerging_EEM
2006-03-31,0.04714998,0.04908868,0.03620472,0.01650424,0.04017976,0.04005161,-0.00867560,0.02167226
2006-04-30,-0.03400997,0.00302725,0.12030978,0.01263159,0.05225021,0.04790497,-0.00148924,0.06515155
2006-05-31,-0.02697828,-0.05682332,-0.01321237,-0.03012087,-0.02933465,-0.03821819,-0.00198620,-0.11142723
2006-06-30,0.04961021,-0.00041809,-0.04670720,0.00260842,0.01012970,-0.00061132,-0.00160777,0.00213432
2006-07-31,0.03891391,-0.02857983,0.03152050,0.00447814,0.01036281,0.00810512,0.01388858,0.02342919
2006-08-31,0.03484390,0.02999385,-0.01377452,0.02182243,0.03242321,0.02548530,0.01591033,0.01581674
2006-09-30,0.01965840,0.00641686,-0.04527211,0.02700172,0.01121658,0.00221915,0.01011409,-0.00870689
2006-10-31,0.06027800,0.05874995,0.01294771,0.03151644,0.03692008,0.03749065,0.00685790,0.07057975
2006-11-30,0.04781212,0.02413748,0.06889106,0.01988554,0.03759170,0.03072983,0.01061925,0.05984567
2006-12-31,-0.01842591,0.00372909,-0.01832583,0.01337106,0.03071113,0.03197205,-0.00600503,0.05459780
2007-01-31,0.08779282,0.01691605,0.02562890,0.01504023,0.01569854,0.01393047,-0.00070167,0.00113838
2007-02-28,-0.02698206,-0.00655316,0.02545120,-0.01961749,-0.01242256,-0.00121214,0.01625374,-0.03237080
2007-03-31,-0.02074943,0.00980297,-0.01113125,0.01158908,0.03729718,0.02899540,-0.00195129,0.05334513
2007-04-30,-0.00125994,0.01623634,0.02053542,0.04429556,0.05752979,0.03748327,0.00589748,0.03725347
2007-05-31,-0.00378574,0.04372041,-0.02310323,0.03392046,0.02133288,0.02362309,-0.00917275,0.05064531
2007-06-30,-0.09007700,-0.01438280,-0.01937754,-0.01462076,-0.00352489,-0.00320866,-0.00376749,0.03678360
2007-07-31,-0.08259365,-0.06996335,0.02365029,-0.03131046,-0.02842899,-0.02290465,0.01073071,0.00714116
2007-08-31,0.06744555,0.02127073,0.01109585,0.01283308,0.00269697,-0.00633579,0.01279422,0.01040915
2007-09-30,0.03917253,0.01898306,0.10508127,0.03871469,0.05163999,0.05317540,0.00632897,0.11571498
2007-10-31,0.02099089,0.02848665,0.06951436,0.01356591,0.04744330,0.04249944,0.01008026,0.11870173
2007-11-30,-0.09470959,-0.06887795,-0.01653527,-0.03873272,-0.03760243,-0.03623714,0.01803393,-0.07649952
2007-12-31,-0.05413002,-0.00644973,0.06647697,-0.01126011,-0.02072556,-0.02981263,-0.00009165,-0.01406680
2008-01-31,-0.00780986,-0.06534917,0.10841623,-0.06046103,-0.08981590,-0.07847147,0.02312896,-0.08922170
2008-02-29,-0.03181341,-0.02932045,0.05229758,-0.02584282,-0.00293648,-0.01022954,-0.00160033,0.01994350
2008-03-31,0.06485266,-0.00665810,-0.05999165,-0.00894234,0.01310779,0.00419006,0.00129741,-0.03753088
2008-04-30,0.06379162,0.04554091,-0.04158834,0.04766231,0.04099414,0.05438126,0.00327570,0.09138305
2008-05-31,-0.00210880,0.04579788,0.00923249,0.01511638,0.00670291,0.01187176,-0.01265310,0.03163790
2008-06-30,-0.10615390,-0.07526405,0.04516872,-0.08357563,-0.08988797,-0.08786827,-0.00184888,-0.09269513
2008-07-31,0.03115389,0.03673053,-0.01444201,-0.00898599,-0.02880637,-0.03320238,0.00393947,-0.05504008
2008-08-31,0.02373833,0.03575436,-0.09291744,0.01545356,-0.03844974,-0.04247601,0.00741932,-0.06315753
2008-09-30,-0.00123715,-0.07751500,0.04112105,-0.09417348,-0.12893731,-0.11436215,-0.01759751,-0.14681681
2008-10-31,-0.31726987,-0.20955870,-0.16139654,-0.16518644,-0.21828729,-0.20834831,-0.02280990,-0.25577981
2008-11-30,-0.22717419,-0.11925553,0.12573594,-0.06960663,-0.07382592,-0.06371979,0.03024287,-0.09752238
2008-12-31,0.16710950,0.04805684,0.07732536,0.00979618,0.07185456,0.08868410,0.06662399,0.10333471
2009-01-31,-0.17530907,-0.09666971,0.05536293,-0.08211401,-0.13842535,-0.13731619,-0.01986562,-0.09291124
2009-02-28,-0.20525602,-0.11982878,0.01445624,-0.10744885,-0.10378185,-0.10387586,-0.01055384,-0.06269322
2009-03-31,0.03641439,0.07757602,-0.02536973,0.08330998,0.07697476,0.08390985,0.01103028,0.16862932
