Date,US_REITs_VNQ,US_SmallCap_IWM,Gold_GLD,US_LargeCap_SPY,Europe_VGK,DevExUS_EFA,US_Bonds_AGG,Emerging_EEM
2006-02-07,-0.00786455,-0.01615575,-0.03737663,-0.00884602,-0.00853456,-0.00740843,-0.00069850,-0.02623602
2006-02-08,-0.00443846,0.00631565,0.00421252,0.00908463,0.00934081,0.00356956,-0.00049856,0.00310850
2006-02-09,0.00477696,-0.00516006,0.02462153,-0.00165823,0.00508110,0.00194032,0.00059960,0.00258273
2006-02-10,0.00095091,-0.00210316,-0.02474189,0.00181928,-0.00108364,-0.00225918,-0.00209781,-0.00154601
2006-02-13,0.00142511,-0.00660303,-0.01952911,-0.00181598,-0.00289155,-0.00695462,0.00070046,-0.02466422
2006-02-14,0.00553303,0.01159662,0.01433359,0.01060040,0.00616233,0.01107516,-0.00159956,0.02528793
2006-02-15,0.00880558,0.00880758,-0.01339701,0.00352243,-0.00414299,-0.00902115,0.00110105,-0.00515960
2006-02-16,0.00670177,0.00886933,0.01413694,0.00748815,0.00651252,0.00959079,-0.00100068,0.02593349
2006-02-17,0.01068278,-0.00206055,0.00807041,-0.00270956,0.00431298,-0.00289819,0.00410600,-0.00131437
2006-02-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-02-21,-0.00122522,-0.00440475,0.00291121,-0.00248423,0.00196875,0.00016147,-0.00368923,-0.00880825
2006-02-22,0.01119633,0.00677426,0.00399131,0.00607008,0.00696528,0.00758781,0.00400358,0.00541375
2006-02-23,-0.00166855,-0.00068609,-0.01264909,-0.00146977,-0.00319252,0.00256381,-0.00059771,-0.00030476
2006-02-24,-0.00531738,0.00797032,0.01830161,0.00255706,-0.00124576,0.00335622,0.00079823,0.00193067
2006-02-27,0.00015209,0.00272698,-0.00754849,0.00038608,0.00160365,0.00350438,-0.00209418,0.00912895
2006-02-28,-0.00366471,-0.01318918,0.01539295,-0.00950118,-0.00836033,-0.00920665,0.00209858,-0.02603327
2006-03-01,0.00582434,0.01818722,0.00053502,0.00889049,0.00914799,0.01025339,0.00002892,0.02765767
2006-03-02,-0.00121941,-0.00419460,0.01140826,-0.00007734,0.00159980,-0.00190288,-0.00250065,0.00080357
2006-03-03,-0.00549236,-0.00502808,-0.00810721,-0.00463829,0.00301668,-0.00413108,-0.00200639,-0.01665667
2006-03-06,0.01810361,-0.00778484,-0.01865670,-0.00458202,-0.00300760,-0.00382883,-0.00552714,-0.01530593
2006-03-07,-0.01205506,-0.01445270,-0.00506969,-0.00156036,-0.01277695,-0.01217166,0.00252592,-0.03523353
2006-03-08,0.00518612,0.00349128,-0.01783439,0.00210994,0.00035947,0.00340454,0.00050461,0.00590777
2006-03-09,0.00819320,-0.00876808,0.00500279,-0.00670627,0.00053883,-0.00113089,-0.00131023,-0.01014427
2006-03-10,0.00903104,0.01544531,-0.00755899,0.00949914,0.01023714,0.01520508,0.00040304,0.02103543
2006-03-13,-0.00656299,0.00207389,0.00891695,0.00186617,0.00853311,0.00828598,0.00181638,-0.00105627
2006-03-14,0.00720681,0.01103868,0.01031113,0.01047878,0.01233976,0.01058789,0.00332158,0.03120042
2006-03-15,0.01893313,0.00914478,0.00455622,0.00445577,0.00522342,0.00359632,-0.00270907,0.01158973
2006-03-16,0.01038763,-0.00229932,0.00399131,0.00206467,0.00710201,0.00327203,0.00422479,-0.00892213
2006-03-17,0.00897767,0.00406638,-0.00397545,0.00083510,0.00189202,0.00481434,-0.00220332,0.00705886
2006-03-20,-0.01683131,-0.00053945,0.00090710,-0.00160772,-0.00017175,0.00200951,-0.00040216,0.00568870
2006-03-21,-0.01159885,-0.01391382,-0.00616270,-0.00628754,-0.00892852,-0.01033485,-0.00261069,-0.02020225
2006-03-22,0.00222837,0.01547963,-0.00145909,0.00609618,0.00831592,0.00935169,0.00181247,0.01103122
